"StoreName";"StoreType";"StoreOpeningDate";"Address";"City";"State";"Country";"Region";"Manager Name"
"The Chic Closet";"SMB";"5/13/1993";"161 Hammond Pike Apt. 632 Thomasberg  IN 53686";"Wigginsside";"Alabama";"United States";"South";"Alisha"
"The Trendy Vault";"MBO";"11/7/1996";"27291 Duncan Spring Apt. 525 Timothymouth  MA 75737";"Reidville";"Florida";"United States";"South";"Crystal"
"The Polished Boutique";"Outlet Stores";"3/8/1990";"86365 Boyer Extensions Apt. 515 North Alexisland  NJ 34428";"Davenportmouth";"New Hampshire";"United States";"Northeast";"Jeffrey"
"The Timeless Find ";"Outlet Stores";"3/5/2000";"USNS Holden FPO AE 88855";"Torresport";"South Dakota";"United States";"Midwest";"Albert"
"The Purely Enclave ";"MBO";"4/15/2022";"220 Steven Vista Suite 868 Lisastad  PA 62390";"Greerland";"West Virginia";"United States";"South";"Alex"
"The Whimsy Products";"Outlet Stores";"2/3/1973";"70024 Chaney Trace Suite 403 Johnsonfort  AR 03938";"Edwintown";"Michigan";"United States";"Midwest";"Adam"
"The Harmony Avenue";"MBO";"7/4/2016";"621 Amanda Highway Suite 022 Port Sharon  MI 78666";"Matthewfurt";"Wyoming";"United States";"West";"Kevin"
"The Chic Hub";"MBO";"6/9/1987";"18181 Erica Summit Garciastad  AZ 01917";"East Julieville";"Tennessee";"United States";"South";"Elizabeth"
"The Happy Nook";"Exclusive";"7/23/2009";"184 Aaron Orchard West Shawnville  AL 51903";"New Matthewport";"Florida";"United States";"South";"Lisa"
"The Harmony Shop";"MBO";"9/16/1989";"Unit 0534 Box 1830 DPO AP 34856";"West Annette";"Idaho";"United States";"West";"Dillon"
"The Shimmer Marvels";"SMB";"1/13/1984";"49697 Joseph Lodge Suite 818 Estradaberg  AZ 95564";"Bryantborough";"Rhode Island";"United States";"Northeast";"Patricia"
"The Vintage Marketplace";"SMB";"10/6/2010";"660 Joseph Plain Lake Tina  DC 85284";"West Benjaminborough";"Illinois";"United States";"Midwest";"Nicholas"
"The Shimmer Elegance";"Outlet Stores";"3/22/2004";"9755 Rachel Road Suite 381 South Annette  NV 60712";"Lake Taylor";"Florida";"United States";"South";"David"
"The Timeless Reflection";"Exclusive";"9/26/2000";"USS Sutton FPO AP 52929";"Castrochester";"Arizona";"United States";"West";"Anthony"
"The Purely & More";"SMB";"9/17/2002";"2577 Jacob Prairie Jonesberg  WA 10960";"Anthonyton";"Florida";"United States";"South";"Jessica"
"The Dapper Essentials";"Exclusive";"12/2/2017";"84011 Tina Brooks Nancyfort  GA 12555";"West Kimberly";"Iowa";"United States";"Midwest";"Brian"
"The Radiant Campany";"SMB";"6/22/2019";"419 Lori Square Karenborough  AL 50556";"West Jeffrey";"Louisiana";"United States";"South";"Russell"
"The Radiant Shop";"Outlet Stores";"1/30/2020";"89124 Miller Forest Apt. 599 Miguelshire  NV 56060";"North Phillip";"New York";"United States";"Northeast";"Edwin"
"The Dapper Boutique";"Outlet Stores";"11/7/1985";"572 Robin Pass Paulville  MS 29094";"North Carlosbury";"South Dakota";"United States";"Midwest";"Megan"
"The Artisan Marketplace";"SMB";"4/13/2009";"22600 Thompson Knoll Apt. 792 Port Briannaberg  WI 32854";"New Sandraton";"Illinois";"United States";"Midwest";"Nathan"
"The Elegant Nook";"MBO";"1/8/1972";"4973 Ashley Street New Hayden  DC 03314";"Shelbyhaven";"Nevada";"United States";"West";"Pamela"
"The Happy Loft";"MBO";"3/8/1975";"23082 Jeffrey Ville Apt. 205 New Jennifer  PW 75084";"Wrightland";"Arkansas";"United States";"South";"Anthony"
"The Enchanted Boutique";"Exclusive";"10/14/1998";"6120 Mckinney Mews Apt. 835 Johnsonmouth  LA 84649";"South Brian";"Texas";"United States";"South";"Michael"
"The Cozy Shoppe";"SMB";"11/23/1990";"28410 Cody Dam Apt. 424 Port Carla  WI 20884";"Pruittland";"Washington";"United States";"West";"David"
"The Majestic Campany";"SMB";"11/23/2010";"9915 Robert Ranch Suite 978 Dannyburgh  GA 71290";"Camposburgh";"Alaska";"United States";"West";"Paul"
"The Purely Oasis";"Exclusive";"5/20/1995";"7876 Sutton Harbors Suite 036 Mackenzieville  DE 90669";"Milesmouth";"Missouri";"United States";"Midwest";"Kathy"
"The Blissful Quest";"MBO";"10/10/1982";"4318 Gonzalez Green South Megan  SD 44399";"Kimberlyport";"Mississippi";"United States";"South";"David"
"The Dapper Creations";"Outlet Stores";"9/14/2012";"677 Long Spurs Martineztown  FM 68563";"Hillville";"Michigan";"United States";"Midwest";"Jeffrey"
"The Harmony Closet";"Exclusive";"12/14/2015";"PSC 9117  Box 8169 APO AE 94296";"West Chelseaview";"Florida";"United States";"South";"Robert"
"The Trendy Creations";"MBO";"3/5/2012";"4885 Butler Keys Williamsshire  GA 92674";"Stephensmouth";"Oregon";"United States";"West";"Mark"
"The Majestic Reflection";"MBO";"9/27/1978";"29552 Tyler Ridge Perryshire  TN 67243";"Samuelfurt";"Oregon";"United States";"West";"Julie"
"The Trendy Deals";"Exclusive";"3/2/2005";"8817 Morris Course Apt. 813 Port Edward  OK 85446";"Josephchester";"Michigan";"United States";"Midwest";"Alexandria"
"The Artisan Vault";"SMB";"12/12/2002";"61726 Rachel Trafficway Apt. 443 Pierceside  MP 15720";"Mcneilmouth";"Wyoming";"United States";"West";"Lisa"
"The Shimmer Marvels";"Outlet Stores";"9/21/2017";"07332 Little Fort Lake John  AR 94952";"West David";"West Virginia";"United States";"South";"Fernando"
"The Happy Quest";"MBO";"2/4/1978";"7470 Hart Tunnel Suite 516 Heatherton  VI 71990";"East Robertberg";"Tennessee";"United States";"South";"Nicholas"
